,S/T name,GCCSA name,SA4 name,SA3 name,SA2 name,population,Area (km^2),Population density persons/km2
54,Tasmania,Rest of Tas.,Launceston and North East,Meander Valley - West Tamar,Deloraine,5896.0,2521.2,2.3
55,Tasmania,Rest of Tas.,Launceston and North East,Meander Valley - West Tamar,Grindelwald - Lanena,6056.0,344.8,17.6
56,Tasmania,Rest of Tas.,Launceston and North East,Meander Valley - West Tamar,Hadspen - Carrick,3560.0,174.7,20.4
57,Tasmania,Rest of Tas.,Launceston and North East,Meander Valley - West Tamar,Westbury,4151.0,679.1,6.1
58,Tasmania,Rest of Tas.,Launceston and North East,North East,Dilston - Lilydale,4142.0,1274.1,3.3
59,Tasmania,Rest of Tas.,Launceston and North East,North East,George Town,7183.0,747.2,9.6
60,Tasmania,Rest of Tas.,Launceston and North East,North East,Longford,4380.0,222.5,19.7
61,Tasmania,Rest of Tas.,Launceston and North East,North East,Northern Midlands,3660.0,4763.6,0.8
62,Tasmania,Rest of Tas.,Launceston and North East,North East,Perth - Evandale,5507.0,226.8,24.3
63,Tasmania,Rest of Tas.,Launceston and North East,North East,St Helens - Scamander,6327.0,3299.1,1.9
64,Tasmania,Rest of Tas.,Launceston and North East,North East,Flinders and Cape Barren Islands,1004.0,1996.6,0.5
65,Tasmania,Rest of Tas.,Launceston and North East,North East,Scottsdale - Bridport,6650.0,3205.7,2.1
66,Tasmania,Rest of Tas.,South East,Central Highlands (Tas.),Central Highlands,2068.0,7185.5,0.3
67,Tasmania,Rest of Tas.,South East,Central Highlands (Tas.),Derwent Valley,3258.0,1290.0,2.5
68,Tasmania,Rest of Tas.,South East,Central Highlands (Tas.),Southern Midlands,6422.0,2600.3,2.5
69,Tasmania,Rest of Tas.,South East,Central Highlands (Tas.),Wilderness - East,17.0,7351.1,0.0
70,Tasmania,Rest of Tas.,South East,Huon - Bruny Island,Bruny Island - Kettering,3255.0,443.5,7.3
71,Tasmania,Rest of Tas.,South East,Huon - Bruny Island,Cygnet,4835.0,239.5,20.2
72,Tasmania,Rest of Tas.,South East,Huon - Bruny Island,Geeveston - Dover,4004.0,827.8,4.8
73,Tasmania,Rest of Tas.,South East,Huon - Bruny Island,Huonville - Franklin,9110.0,682.0,13.4
74,Tasmania,Rest of Tas.,South East,South East Coast,Forestier - Tasman,2476.0,660.4,3.7
75,Tasmania,Rest of Tas.,South East,South East Coast,Triabunna - Bicheno,4723.0,2542.2,1.9
76,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Acton - Upper Burnie,3379.0,2.1,1574.9
77,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Burnie - Ulverstone Region,5060.0,1364.2,3.7
78,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Burnie - Wivenhoe,3706.0,11.4,323.8
79,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Parklands - Camdale,6687.0,19.5,342.3
80,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Penguin - Sulphur Creek,5359.0,64.2,83.5
81,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Romaine - Havenview,3426.0,11.9,289.0
82,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Somerset,4012.0,26.9,149.2
83,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Ulverstone,7004.0,27.5,254.8
84,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,West Ulverstone,4286.0,18.1,237.3
85,Tasmania,Rest of Tas.,West and North West,Burnie - Ulverstone,Wynyard,6325.0,58.6,107.9
86,Tasmania,Rest of Tas.,West and North West,Devonport,Devonport,14174.0,10.3,1379.2
87,Tasmania,Rest of Tas.,West and North West,Devonport,East Devonport,4816.0,13.2,364.0
88,Tasmania,Rest of Tas.,West and North West,Devonport,Latrobe,4992.0,215.3,23.2
89,Tasmania,Rest of Tas.,West and North West,Devonport,Miandetta - Don,3799.0,23.1,164.6
90,Tasmania,Rest of Tas.,West and North West,Devonport,Port Sorell,6445.0,363.0,17.8
91,Tasmania,Rest of Tas.,West and North West,Devonport,Quoiba - Spreyton,3096.0,28.6,108.3
92,Tasmania,Rest of Tas.,West and North West,Devonport,Sheffield - Railton,6349.0,1156.5,5.5
93,Tasmania,Rest of Tas.,West and North West,Devonport,Turners Beach - Forth,3365.0,84.4,39.9
94,Tasmania,Rest of Tas.,West and North West,West Coast,King Island,1612.0,1095.7,1.5
95,Tasmania,Rest of Tas.,West and North West,West Coast,North West,4234.0,4766.3,0.9
96,Tasmania,Rest of Tas.,West and North West,West Coast,Smithton,3935.0,91.3,43.1
97,Tasmania,Rest of Tas.,West and North West,West Coast,Waratah,3562.0,3489.5,1.0
98,Tasmania,Rest of Tas.,West and North West,West Coast,West Coast (Tas.),4132.0,3931.6,1.1
99,Tasmania,Rest of Tas.,West and North West,West Coast,Wilderness - West,0.0,5651.9,0.0
